SHITOMASI+BRIEF, 90, 88, 94, 94, 90, 92, 83, 92, 87
SHITOMASI+ORB, 82, 80, 87, 90, 87, 73, 81, 85, 88
SHITOMASI+FREAK, 67, 71, 65, 61, 64, 62, 62, 64, 59
SHITOMASI+SIFT, 114, 108, 101, 103, 101, 102, 98, 107, 100
HARRIS+BRIEF, 33, 17, 29, 35, 33, 73, 16, 46, 59
HARRIS+ORB, 27, 19, 29, 33, 33, 63, 19, 63, 51
HARRIS+FREAK, 24, 16, 18, 21, 26, 51, 13, 58, 47
HARRIS+SIFT, 0, 0, 0, 0, 0, 0, 0, 0, 0
FAST+BRIEF, 229, 248, 242, 264, 210, 257, 255, 263, 244
FAST+ORB, 228, 225, 219, 238, 216, 247, 256, 227, 233
FAST+FREAK, 177, 178, 161, 176, 142, 162, 176, 153, 181
FAST+SIFT, 313, 326, 306, 311, 289, 325, 324, 314, 307
BRISK+BRIEF, 135, 155, 135, 144, 154, 154, 161, 153, 148
BRISK+ORB, 96, 105, 101, 97, 91, 116, 115, 110, 113
BRISK+FREAK, 112, 115, 107, 121, 98, 134, 131, 119, 120
BRISK+SIFT, 180, 192, 173, 177, 170, 195, 196, 180, 183
ORB+BRIEF, 45, 37, 39, 58, 45, 63, 60, 63, 56
ORB+ORB, 46, 54, 51, 55, 59, 66, 70, 67, 73
ORB+FREAK, 36, 34, 36, 38, 36, 39, 44, 38, 47
ORB+SIFT, 66, 79, 79, 80, 82, 94, 93, 94, 94
AKAZE+BRIEF, 114, 110, 109, 103, 118, 125, 132, 126, 131
AKAZE+ORB, 98, 95, 91, 86, 105, 120, 111, 113, 114
AKAZE+FREAK, 105, 102, 96, 91, 96, 117, 118, 120, 116
AKAZE+AKAZE, 126, 126, 125, 120, 121, 134, 139, 139, 141
AKAZE+SIFT, 137, 132, 133, 138, 139, 150, 151, 153, 149
SIFT+BRIEF, 57, 74, 61, 62, 58, 58, 65, 70, 72
SIFT+FREAK, 54, 52, 50, 56, 46, 45, 47, 49, 53
SIFT+SIFT, 80, 80, 82, 93, 89, 81, 84, 102, 96
